fid,cr_dens,price,morfotype,cluster,minor_roads_dens,tree_dens,poi_dens,ma_morf,morfotype_unique,empt_place,parks,rail,trunk
301,0.27659,1,1,11,38.64709,0,0,1,1,0,1,1,0
302,0.44900,1,1,11,2.16695,0.55,0.688,1,2,1,1,1,0
303,0.17234,1,2,12,3.66911,0,0,0,3,0,1,1,0
304,0.13772,1,1,11,2.69777,0,0.135,1,1,0,1,1,0
305,0.49895,1,1,11,0.50779,0.347,0.128,0,3,1,1,1,0
306,0.80080,1,2,12,2.44089,0.911,0.39,0,2,0,1,1,0
307,0.39322,1,2,12,1.76965,0.969,0,0,2,0,1,1,0
308,0.17943,1,1,11,0.81363,0,0.083,0,2,0,1,1,0
310,0.99740,1,1,11,7.3795,8.828,0,0,2,0,1,0,0
311,0.18899,1,1,11,1.42656,0,0.085,0,1,1,1,0,0
313,0.17413,1,2,12,2.62279,0,0,0,2,0,1,1,0
314,0.14185,1,1,11,0.94663,0,0.046,0,2,0,1,1,0
316,7.57973,1,2,12,40.40407,0,0,1,2,0,1,1,0
317,0.68184,1,2,12,7.17941,24.879,0,1,2,0,1,0,0
318,2.76590,1,1,11,8.36768,15.138,0.688,1,2,0,1,0,0
319,0.27516,1,2,12,0.34807,3.424,0.172,0,2,1,1,0,0
320,0.24008,1,1,11,2.23116,11.669,0.13,1,2,1,1,1,0
321,0.07262,1,2,12,2.45222,3.231,3.231,1,2,1,1,0,1
322,0.22543,1,2,12,1.74796,1.467,0.533,0,3,0,1,0,1
323,0.21580,3,2,32,2.16711,0.973,0.796,0,2,1,1,0,1
324,1.11560,1,2,12,14.34964,7.562,1.26,0,1,0,1,0,1
325,0.43322,2,2,22,2.67221,0.433,2.272,0,3,0,1,0,1
326,3.23617,2,1,21,27.10756,0,2.725,1,3,0,1,0,0
327,0.14583,1,2,12,3.03204,2.498,0.131,0,1,0,1,0,1
328,0.51909,1,1,11,10.30462,4.36,0,1,2,1,1,0,1
329,0.40955,1,2,12,2.65774,1.77,0.221,0,2,1,1,0,0
330,0.28992,1,2,12,1.6671,0.383,0.192,0,2,1,1,0,0
331,0.45668,1,2,12,4.21027,1.178,1.178,0,1,1,1,0,0
332,0.68711,2,2,22,2.2016,2.409,2.19,1,3,1,1,1,0
333,0.21492,2,2,22,5.35918,4.651,0.698,0,2,1,1,0,1
334,0.57706,1,2,12,1.68706,3.079,1.202,0,2,0,1,0,1
335,0.63078,3,1,31,2.84448,5.415,0.645,1,2,1,1,0,0
338,0.63766,1,2,12,8.6869,3.435,0.344,1,3,1,1,0,0
339,1.18782,2,2,22,29.43656,1.386,2.772,1,2,1,1,0,0
340,0.18661,3,1,31,4.25396,8.041,0.603,1,3,1,1,0,0
342,0.47937,3,1,31,10.46594,4.28,5.35,1,2,0,1,0,1
343,0.71982,3,2,32,10.08251,4.13,0,0,3,1,1,0,0
344,1.01385,3,3,33,38.13204,1.761,0,1,2,0,1,0,0
345,0.17888,2,2,22,3.06233,4.251,0.96,0,2,0,1,0,1
346,1.03425,2,2,22,6.97709,0.307,0,0,2,0,1,0,0
347,0.70608,2,2,22,3.67823,0,0.479,0,1,0,1,0,0
348,0.07439,2,2,22,0.74734,0.277,0.192,0,2,1,1,0,1
349,0.12762,2,3,23,0.55688,0.872,0.285,0,3,1,1,0,0
